company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ABB,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ADANIENSOL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% (34.4%) indicates strong pricing power and cost discipline,88
ADANIENSOL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ADANIENSOL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ADANIENT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ADANIENT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ADANIENT,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ADANIGREEN,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% (79.4%) indicates strong pricing power and cost discipline,88
ADANIGREEN,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ADANIGREEN,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ADANIGREEN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ADANIGREEN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
